"year","ageGroup","race","gender","population"
1990,13,"white","male",4408987
1990,14,"nonwhite","female",621853
1990,14,"nonwhite","male",460004
1990,14,"white","female",4936443
1990,14,"white","male",4047535
1990,15,"nonwhite","female",469173
1990,15,"nonwhite","male",319474
1990,15,"white","female",4111212
1990,15,"white","male",3079801
1990,16,"nonwhite","female",758948
1990,16,"nonwhite","male",428881
1990,16,"white","female",7688500
1990,16,"white","male",4157071
2000,0,"Nonwhite","female",27740102
2000,0,"Nonwhite","male",25578000
2000,0,"White","female",115628370
2000,0,"White","male",112478128
2000,1,"Nonwhite","female",2226995
2000,1,"Nonwhite","male",2292574
2000,1,"White","female",7138252
2000,1,"White","male",7518333
2000,2,"Nonwhite","female",2391231
2000,2,"Nonwhite","male",2470915
2000,2,"White","female",7635145
2000,2,"White","male",8052564
2000,3,"Nonwhite","female",2303318
2000,3,"Nonwhite","male",2382607
2000,3,"White","female",7704715
2000,3,"White","male",8137785
2000,4,"Nonwhite","female",2207287
2000,4,"Nonwhite","male",2266638
2000,4,"White","female",7620729
2000,4,"White","male",8124128
2000,5,"Nonwhite","female",2101002
2000,5,"Nonwhite","male",2036076
2000,5,"White","female",7174456
2000,5,"White","male",7651430
2000,6,"Nonwhite","female",2154979
2000,6,"Nonwhite","male",2009379
2000,6,"White","female",7427716
2000,6,"White","male",7789718
2000,7,"Nonwhite","female",2165585
2000,7,"Nonwhite","male",1996663
2000,7,"White","female",8023216
2000,7,"White","male",8325603
2000,8,"Nonwhite","female",2273755
2000,8,"Nonwhite","male",2062121
2000,8,"White","female",9114425
2000,8,"White","male",9257089
2000,9,"Nonwhite","female",2162898
2000,9,"Nonwhite","male",1933201
2000,9,"White","female",9150030
2000,9,"White","male",9196313
2000,10,"Nonwhite","female",1856446
2000,10,"Nonwhite","male",1621407
2000,10,"White","female",8346554
2000,10,"White","male",8268304
2000,11,"Nonwhite","female",1498944
2000,11,"Nonwhite","male",1293257
2000,11,"White","female",7478966
2000,11,"White","male",7314657
2000,12,"Nonwhite","female",1079271
2000,12,"Nonwhite","male",911444
2000,12,"White","female",5881319
2000,12,"White","male",5597391
2000,13,"Nonwhite","female",874784
2000,13,"Nonwhite","male",717127
2000,13,"White","female",4794083
2000,13,"White","male",4419581
2000,14,"Nonwhite","female",737703
2000,14,"Nonwhite","male",557554
2000,14,"White","female",4395519
2000,14,"White","male",3842875
2000,15,"Nonwhite","female",627387
2000,15,"Nonwhite","male",431232
2000,15,"White","female",4327177
2000,15,"White","male",3471737
2000,16,"Nonwhite","female",1078517
2000,16,"Nonwhite","male",595805
2000,16,"White","female",9416068
2000,16,"White","male",5510620
2010,0,"Nonwhite","female",34726071
